Emerging market by exchanges,,
,,
,,Domicile
B8055M,Akis Gayrimenkul Yatirimi Ortakligi AS,TURKEY
B83LX1,"Akkhie Prakarn Co., Ltd.",THAILAND
B07DQ4,Akmerkez Gayrimenkul Yatirim Ortakligi A.S.,TURKEY
612035,AKN Technology Bhd.,MALAYSIA
B03MNB,Aksa Akrilik Kimya Sanayii A.S.,TURKEY
B3Y1WH,Aksa Enerji UEretim A.S.,TURKEY
B6W2TH,Aksel Enerji Yatirim Holding A.S.,TURKEY
629638,Aksh Optifibre Limited,INDIA
637196,AksharChem India Ltd.,INDIA
B03MND,Aksigorta AS,TURKEY
B03MNF,Aksu Enerji ve Ticaret A.S.,TURKEY
B03MNG,Aksu Iplik Dokuma Try1,TURKEY
402396,Aktas Elektrik Trl1000,TURKEY
698685,Aktif Lifestyle Myr1,MALAYSIA
BBBSJH,Akyuerek Tueketim UEruenleri Pazarlama Dagitim ve Ticaret A.S.,TURKEY
612489,Akzo Nobel India Limited,INDIA
656644,Al Ahli Bank of Qatar,QATAR
600403,Al Ahly for Investment & Development,EGYPT
605125,Al Ain Ahlia Insurance Company,UNITED ARAB EMIRATES
B1J48D,Al Arafa Investment & Consulting,EGYPT
631644,Al Baraka Bank Egypt,EGYPT
B0MLBJ,Al Buhaira National Insurance Co.,UNITED ARAB EMIRATES
601113,Al Dhafra Insurance Company,UNITED ARAB EMIRATES
B28TS7,Al Firdous Holdings PJSC,UNITED ARAB EMIRATES
B1YHG9,Al Fujairah National Insurance Co. PSC,UNITED ARAB EMIRATES
656659,Al Khaleej Takaful Group,QATAR
B23X0G,Al Khalij Commercial Bank QSC,QATAR
B1JNHY,Al Khazna Insurance Company,UNITED ARAB EMIRATES
B13NN1,Al Sagr National Insurance Co. PSC,UNITED ARAB EMIRATES
B39T10,Al Salam Bank Sudan,SUDAN
632230,Al Wadi Export Agr Egp10,EGYPT
B1X5Y5,Al Waha Capital PJSC,UNITED ARAB EMIRATES
630847,Al Watany Bank of Egypt,EGYPT
651850,Al Wathba National Insurance Company,UNITED ARAB EMIRATES
611077,Al-Ahram Beverages Co.,EGYPT
B1QSFL,Al-Hadharah Boustead REIT,MALAYSIA
667743,Alacrity Financial Zar0.01,SOUTH AFRICA
BCZZQJ,Alacrity Securities Ltd.,INDIA
B19CNZ,Alam Maritim Resources Bhd.,MALAYSIA
632843,Alang Industrial Gases Ltd.,INDIA
B03MNH,Alarko Carrier Sanayi ve Ticaret A.S.,TURKEY
B03MNJ,Alarko Gayrimenkul Yatirim Ortakligi A.S.,TURKEY
B03MNK,Alarko Holding A.S.,TURKEY
601477,Alaska Milk Corp.,PHILIPPINES
B1Z2X5,Albaraka Tuerk Katilim Bankasi A.S.,TURKEY
615551,"Albatron Technology Co., Ltd",TAIWAN
632659,Albert David Ltd,INDIA
685544,Alcan Pack Strongp Thb10(Local),THAILAND
B03MNL,Alcatel Lucent Teletas Telekomuenikasyon A.S.,TURKEY
551876,Alchemia S.A.,POLAND
B03LRX,Alchemist Corporation Limited,INDIA
B0MHH0,Alchemist Limited,INDIA
B03Q36,Alchemist Realty Limited,INDIA
B4TPSL,"Alchip Technologies, Inc.",TAIWAN
B037FM,Alcor Micro Corp.,TAIWAN
B7FQQG,Alda SA,POLAND
B0LX3Y,Aldar Properties PJSC,UNITED ARAB EMIRATES
617527,Aldex Krw500,SOUTH KOREA
B8WR86,AlejaSamochodowa.pl SA,POLAND
B1FGWS,Alembic Limited,INDIA
B69127,Alembic Pharmaceuticals Limited,INDIA
B8824J,Alert Steel Holdings Limited,SOUTH AFRICA
601454,Alex White Hldgs Zar0.10,SOUTH AFRICA
634818,Alexander Forbes Ltd.,SOUTH AFRICA
602067,Alexandria Cement Co.,EGYPT
602393,Alexandria Co. for Pharmaceuticals & Chemical Industries,EGYPT
632585,Alexandria Containers & Goods,EGYPT
601422,Alexandria Flour Mills Co.,EGYPT
B0K2PB,Alexandria Mineral Oils Co.,EGYPT
B169B2,Alexandria National Co. for Financial Investment,EGYPT
